mese;giorno;data - ora;Gb(i);Gd(i);Gr(i);Altezza sole;Temperatura aria ext;Text media giornaliera;Text media mensile;Text media giornaliera per calcolo GG;Gradi giorno;secondi in un ora;secondi in un giorno;secondi in un mese;Htr [W/K];Hve [W/K];Qht orario [MJ];Qht giornaliero [MJ];Qht mensile [MJ]
;martedì;07/01/2020 - 00:09;0;0;0;0;3,47;;;;;;;;;;98,9;2004,55;
;;07/01/2020 - 01:09;0;0;0;0;3,04;;;;;;;;;;101,5;;
;;07/01/2020 - 02:09;0;0;0;0;2,61;;;;;;;;;;104,0;;
;;07/01/2020 - 03:09;0;0;0;0;2,25;;;;;;;;;;106,2;;
;;07/01/2020 - 04:09;0;0;0;0;1,95;;;;;;;;;;108,0;;
;;07/01/2020 - 05:09;0;0;0;0;1,71;;;;;;;;;;109,4;;
;;07/01/2020 - 06:09;0;0;0;0;1,58;;;;;;;;;;110,2;;
;;07/01/2020 - 07:09;0;0;0;0;1,55;;;;;;;;;;110,4;;
;;07/01/2020 - 08:09;0;0;0;0;1,75;;;;;;;;;;109,2;;
;;07/01/2020 - 09:09;232,44;78,95;1,76;8,53;2,36;;;;;;;;;;105,5;;
;;07/01/2020 - 10:09;452,6;120,85;4,24;17,46;5,02;;;;;;;;;;89,6;;
;;07/01/2020 - 11:09;626,97;137,07;6,3;24,57;7,46;;;;;;;;;;75,0;;
;;07/01/2020 - 12:09;727,2;143,71;7,59;29,18;8,62;;;;;;;;;;68,1;;
;;07/01/2020 - 13:09;735,98;152,16;7,97;30,69;9,53;;;;;;;;;;62,6;;
;;07/01/2020 - 14:09;683,97;146,95;7,47;28,88;10,18;;;;;;;;;;58,8;;
;;07/01/2020 - 15:09;560,87;132,97;6,09;24,02;10,49;;;;;;;;;;56,9;;
;;07/01/2020 - 16:09;388,47;106,67;4,03;16,72;10,62;;;;;;;;;;56,1;;
;;07/01/2020 - 17:09;169,37;62,46;1,52;7,66;10,38;;;;;;;;;;57,6;;
;;07/01/2020 - 18:09;0;0;0;0;9,53;;;;;;;;;;62,6;;
;;07/01/2020 - 19:09;0;0;0;0;8,52;;;;;;;;;;68,7;;
;;07/01/2020 - 20:09;0;0;0;0;6,97;;;;;;;;;;78,0;;
;;07/01/2020 - 21:09;0;0;0;0;8,62;;;;;;;;;;68,1;;
;;07/01/2020 - 22:09;0;0;0;0;8,49;;;;;;;;;;68,9;;
;;07/01/2020 - 23:09;0;0;0;0;8,26;6,04;;5,375;;;;;;;70,2;;
;mercoledì;08/01/2020 - 00:09;0;0;0;0;7,91;;;;;;;;;;72,3;1721,62;
;;08/01/2020 - 01:09;0;0;0;0;7,69;;;;;;;;;;73,7;;
;;08/01/2020 - 02:09;0;0;0;0;7,26;;;;;;;;;;76,2;;
;;08/01/2020 - 03:09;0;0;0;0;6,56;;;;;;;;;;80,4;;
;;08/01/2020 - 04:09;0;0;0;0;6,54;;;;;;;;;;80,5;;
;;08/01/2020 - 05:09;0;0;0;0;6,89;;;;;;;;;;78,4;;
;;08/01/2020 - 06:09;0;0;0;0;6,71;;;;;;;;;;79,5;;
;;08/01/2020 - 07:09;0;0;0;0;5,58;;;;;;;;;;86,3;;
;;08/01/2020 - 08:09;0;0;0;0;5,04;;;;;;;;;;89,5;;
;;08/01/2020 - 09:09;144,6;80,66;1,52;8,56;5,87;;;;;;;;;;84,5;;
;;08/01/2020 - 10:09;133,6;156,24;3,01;17,51;7,63;;;;;;;;;;74,0;;
;;08/01/2020 - 11:09;76,03;200,87;3,62;24,64;9,17;;;;;;;;;;64,8;;
;;08/01/2020 - 12:09;26,67;206,16;3,5;29,28;9,98;;;;;;;;;;59,9;;
;;08/01/2020 - 13:09;0;149,75;2,44;30,82;10,18;;;;;;;;;;58,8;;
;;08/01/2020 - 14:09;20,72;197,54;3,34;29,03;10,44;;;;;;;;;;57,2;;
;;08/01/2020 - 15:09;198,16;212,62;4,54;24,18;10,52;;;;;;;;;;56,7;;
;;08/01/2020 - 16:09;5,91;97,96;1,62;16,89;10,35;;;;;;;;;;57,7;;
;;08/01/2020 - 17:09;13,68;47,77;0,81;7,82;10,03;;;;;;;;;;59,7;;
;;08/01/2020 - 18:09;0;0;0;0;9,35;;;;;;;;;;63,7;;
;;08/01/2020 - 19:09;0;0;0;0;8,53;;;;;;;;;;68,6;;
;;08/01/2020 - 20:09;0;0;0;0;8,13;;;;;;;;;;71,0;;
;;08/01/2020 - 21:09;0;0;0;0;7,59;;;;;;;;;;74,2;;
;;08/01/2020 - 22:09;0;0;0;0;7,32;;;;;;;;;;75,9;;
;;08/01/2020 - 23:09;0;0;0;0;6,98;8,01;;7,39;;;;;;;77,9;;
;giovedì;09/01/2020 - 00:09;0;0;0;0;6,81;;;;;;;;;;78,9;1723,53;
;;09/01/2020 - 01:09;0;0;0;0;6,84;;;;;;;;;;78,7;;
;;09/01/2020 - 02:09;0;0;0;0;6,56;;;;;;;;;;80,4;;
;;09/01/2020 - 03:09;0;0;0;0;6,23;;;;;;;;;;82,4;;
;;09/01/2020 - 04:09;0;0;0;0;5,81;;;;;;;;;;84,9;;
;;09/01/2020 - 05:09;0;0;0;0;5,31;;;;;;;;;;87,9;;
;;09/01/2020 - 06:09;0;0;0;0;4,97;;;;;;;;;;89,9;;
;;09/01/2020 - 07:09;0;0;0;0;4,9;;;;;;;;;;90,3;;
;;09/01/2020 - 08:09;0;0;0;0;4,79;;;;;;;;;;91,0;;
;;09/01/2020 - 09:09;226,95;79,42;1,76;8,6;4,93;;;;;;;;;;90,2;;
;;09/01/2020 - 10:09;447,46;122,96;4,25;17,57;7,14;;;;;;;;;;76,9;;
;;09/01/2020 - 11:09;619,77;141,99;6,33;24,73;9,56;;;;;;;;;;62,5;;
;;09/01/2020 - 12:09;732,38;144,94;7,68;29,39;10,75;;;;;;;;;;55,3;;
;;09/01/2020 - 13:09;757,98;145,65;8,12;30,96;11,33;;;;;;;;;;51,9;;
;;09/01/2020 - 14:09;690,27;148,04;7,58;29,19;11,6;;;;;;;;;;50,3;;
;;09/01/2020 - 15:09;547,74;142,46;6,13;24,34;11,71;;;;;;;;;;49,6;;
;;09/01/2020 - 16:09;374,11;114,36;4,06;17,05;11,73;;;;;;;;;;49,5;;
;;09/01/2020 - 17:09;177,82;63,87;1,61;7,98;11,46;;;;;;;;;;51,1;;
;;09/01/2020 - 18:09;0;0;0;0;10,55;;;;;;;;;;56,5;;
;;09/01/2020 - 19:09;0;0;0;0;9,06;;;;;;;;;;65,5;;
;;09/01/2020 - 20:09;0;0;0;0;8,35;;;;;;;;;;69,7;;
;;09/01/2020 - 21:09;0;0;0;0;7,53;;;;;;;;;;74,6;;
;;09/01/2020 - 22:09;0;0;0;0;7,18;;;;;;;;;;76,7;;
;;09/01/2020 - 23:09;0;0;0;0;6,83;8,00;;7,45;;;;;;;78,8;;
;venerdì;10/01/2020 - 00:09;0;0;0;0;5,98;;;;;;;;;;83,9;1741,06;
;;10/01/2020 - 01:09;0;0;0;0;5,5;;;;;;;;;;86,8;;
;;10/01/2020 - 02:09;0;0;0;0;5,36;;;;;;;;;;87,6;;
;;10/01/2020 - 03:09;0;0;0;0;5,4;;;;;;;;;;87,4;;
;;10/01/2020 - 04:09;0;0;0;0;5,35;;;;;;;;;;87,7;;
;;10/01/2020 - 05:09;0;0;0;0;5,2;;;;;;;;;;88,5;;
;;10/01/2020 - 06:09;0;0;0;0;4,94;;;;;;;;;;90,1;;
;;10/01/2020 - 07:09;0;0;0;0;4,79;;;;;;;;;;91,0;;
;;10/01/2020 - 08:09;0;0;0;0;4,71;;;;;;;;;;91,5;;
;;10/01/2020 - 09:09;247,87;77,13;1,82;8,64;4,13;;;;;;;;;;95,0;;
;;10/01/2020 - 10:09;456,69;120,5;4,3;17,63;7,26;;;;;;;;;;76,2;;
;;10/01/2020 - 11:09;621,7;141,84;6,36;24,82;10,07;;;;;;;;;;59,4;;
;;10/01/2020 - 12:09;748,05;138,22;7,76;29,51;11,07;;;;;;;;;;53,4;;
;;10/01/2020 - 13:09;664,81;186,75;7,83;31,11;11,57;;;;;;;;;;50,4;;
;;10/01/2020 - 14:09;425,55;239,57;6,61;29,35;11,8;;;;;;;;;;49,1;;
;;10/01/2020 - 15:09;550,87;142,23;6,18;24,51;11,82;;;;;;;;;;48,9;;
;;10/01/2020 - 16:09;401,01;106,23;4,18;17,22;11,64;;;;;;;;;;50,0;;
;;10/01/2020 - 17:09;180,44;65,09;1,65;8,15;11,14;;;;;;;;;;53,0;;
;;10/01/2020 - 18:09;0;0;0;0;10,1;;;;;;;;;;59,2;;
;;10/01/2020 - 19:09;0;0;0;0;8,7;;;;;;;;;;67,6;;
